iter	Logloss
0	0.3448875023
1	0.2791832916
2	0.2608389807
3	0.2557409296
4	0.2532105559
5	0.2518811712
6	0.2505242771
7	0.249881514
8	0.2492014899
9	0.2486863875
10	0.2481617212
11	0.2476882926
12	0.2473942501
13	0.2470969679
14	0.2467973728
15	0.2463080508
16	0.245979795
17	0.245769123
18	0.2455862295
19	0.2453971405
20	0.2452214586
21	0.2449040325
22	0.2447043627
23	0.2444123849
24	0.2442019562
25	0.2440104371
26	0.2437720389
27	0.2435819367
28	0.2433514211
29	0.2431797512
30	0.2429400861
31	0.242669446
32	0.2424920683
33	0.2422781556
34	0.2420919137
35	0.2418245164
36	0.2416279897
37	0.241624233
38	0.2413611816
39	0.2410795894
40	0.2408914952
41	0.2407356946
42	0.2404978407
43	0.240337116
44	0.2401548486
45	0.2400020825
46	0.239843404
47	0.2396465004
48	0.2395057524
49	0.2393344351
50	0.2392099334
51	0.2391122718
52	0.2389372345
53	0.23872188
54	0.2385787396
55	0.2383444187
56	0.2382630454
57	0.2381898474
58	0.2380430123
59	0.2379024642
60	0.2377410987
61	0.2375473183
62	0.2373981038
63	0.2372223973
64	0.2371062367
65	0.2369095465
66	0.2367356934
67	0.2365443567
68	0.2363395412
69	0.236122741
70	0.2359471424
71	0.2359444538
72	0.2357878845
73	0.2356375847
74	0.2355191635
75	0.2353614428
76	0.2351583224
77	0.2350165558
78	0.2348563189
79	0.2346388703
80	0.234472496
81	0.2342748745
82	0.2341362699
83	0.2339700424
84	0.2338147391
85	0.2336851707
86	0.2334812853
87	0.2333408102
88	0.2332286044
89	0.2330742975
90	0.2328804396
91	0.2326605978
92	0.2325211897
93	0.2323359331
94	0.2321908222
95	0.2320263558
96	0.2319455197
97	0.2318450246
98	0.2317120719
99	0.2316047777
