iter	Passed	Remaining
0	46	4629
1	96	4708
2	142	4591
3	184	4420
4	222	4231
5	256	4013
6	294	3914
7	326	3750
8	358	3626
9	391	3522
10	425	3441
11	458	3364
12	493	3303
13	527	3237
14	562	3185
15	597	3139
16	634	3098
17	667	3041
18	702	2994
19	735	2943
20	767	2888
21	805	2857
22	841	2817
23	877	2777
24	915	2747
25	953	2714
26	987	2670
27	1022	2628
28	1059	2593
29	1093	2552
30	1136	2530
31	1181	2509
32	1226	2490
33	1277	2479
34	1328	2467
35	1382	2457
36	1461	2489
37	1511	2465
38	1549	2423
39	1593	2390
40	1631	2347
41	1667	2303
42	1707	2263
43	1745	2221
44	1783	2179
45	1819	2135
46	1859	2097
47	1903	2062
48	1937	2016
49	1974	1974
50	2008	1929
51	2041	1884
52	2081	1846
53	2118	1804
54	2153	1761
55	2186	1717
56	2218	1673
57	2256	1633
58	2295	1595
59	2333	1555
60	2375	1518
61	2416	1480
62	2459	1444
63	2504	1408
64	2547	1371
65	2591	1335
66	2632	1296
67	2668	1255
68	2706	1216
69	2743	1175
70	2779	1135
71	2811	1093
72	2850	1054
73	2887	1014
74	2922	974
75	2955	933
76	2991	893
77	3026	853
78	3060	813
79	3097	774
80	3134	735
81	3173	696
82	3210	657
83	3253	619
84	3286	579
85	3318	540
86	3352	500
87	3385	461
88	3418	422
89	3454	383
90	3488	345
91	3523	306
92	3562	268
93	3597	229
94	3633	191
95	3667	152
96	3701	114
97	3736	76
98	3770	38
99	3804	0
